date,idx,exchange_rate_m2,interest_rate_m2,inflation_rate_m2,money_supply_m2
2011-02-01,3470.35,-0.886403902957804,-0.43470802236207223,0.13823381899497164,-0.37981793876715064
2011-03-01,3678.67,-0.91724551983644,-0.43470802236207223,0.15611851794849912,-0.4070159292606251
2011-04-01,3819.62,-0.8808964713723333,-0.3031997130760671,0.10246442108791712,-0.4200039495844721
2011-05-01,3836.97,-1.0075673978381594,-0.3031997130760671,0.045829541068413804,-0.39545358273474845
2011-06-01,3888.57,-1.0698013747539783,-0.3031997130760671,-0.10022883371872644,-0.4087493867667369
2011-07-01,4130.8,-1.1513113622189446,-0.3031997130760671,-0.15388293057930866,-0.3766038314572558
2011-08-01,3841.73,-1.1573695369629624,-0.3031997130760671,-0.2850373895718427,-0.3391881418430116
2011-09-01,3549.03,-1.1447024443163798,-0.3031997130760671,-0.5622502233515169,-0.30628263522119586
2011-10-01,3790.85,-1.1898633833172394,-0.3031997130760671,-0.5085961264909349,-0.2615474879297514
2011-11-01,3715.08,-1.1579202801215094,-0.3031997130760671,-0.5622502233515169,-0.2442285809121301
2011-12-01,3821.99,-0.9453334209223405,-0.43470802236207223,-0.6188851033710202,-0.21708680316797216
2012-01-01,3941.69,-0.9629572019958467,-0.6977246409340825,-0.6993662486618933,-0.17632047606289783
2012-02-01,3985.21,-0.8572145155548093,-0.6977246409340825,-0.8066744423830576,-0.05998678918440104
2012-03-01,4121.55,-0.8351847892129266,-0.6977246409340825,-0.8484054066079549,-0.0758144592436592
2012-04-01,4180.73,-0.8919113345432748,-0.8292329502200873,-0.875232455038246,-0.07984922858043252
2012-05-01,3832.82,-0.8500548544936974,-0.8292329502200873,-0.7530203455224755,-0.03086037684266394
2012-06-01,3955.58,-0.814256549188138,-0.8292329502200873,-0.5950388380996505,-0.018716737237986773
2012-07-01,4142.34,-0.7977342544317259,-0.8292329502200873,-0.6099427538942567,0.03237890311973329
2012-08-01,4060.33,-0.720630212235136,-0.8292329502200873,-0.5860964886228868,0.07831306142203504
2012-09-01,4262.56,-0.6831796774539354,-0.8292329502200873,-0.577154139146123,0.08189697867159028
2012-10-01,4350.29,-0.6462798858312817,-0.8292329502200873,-0.5711925728282806,0.10886329638516012
2012-11-01,4276.14,-0.5818429362812745,-0.8292329502200873,-0.6516737181191538,0.13770287876219442
2012-12-01,4316.69,-0.5774369910128979,-0.8292329502200873,-0.5622502233515169,0.1662691959663318
2013-01-01,4453.7,-0.5581609804637505,-0.8292329502200873,-0.6486929349602325,0.2005081956696798
2013-02-01,4795.79,-0.5746832752201626,-0.8292329502200873,-0.6546545012780751,0.2789659904356385
2013-03-01,4940.99,-0.5267686204265676,-0.8292329502200873,-0.5741733559872019,0.24846616261697504
2013-04-01,5034.07,-0.5185074730483615,-0.8292329502200873,-0.3535954022270309,0.2576283838694457
2013-05-01,5068.63,-0.5306238225363971,-0.8292329502200873,-0.17772919585067853,0.2907988765722959
2013-06-01,4818.9,-0.4992314624992141,-0.8292329502200873,-0.276095040095079,0.32104718857356446
2013-07-01,4610.38,-0.5019851782919494,-0.8292329502200873,-0.3059028716842913,0.3725468029255675
2013-08-01,4195.09,-0.45737498244963676,-0.6977246409340825,-0.17772919585067853,0.36236433917863403
2013-09-01,4316.18,-0.3896335739483472,-0.43470802236207223,0.6300630402169743,0.4357772287497598
2013-10-01,4510.63,-0.19467049582268453,-0.17169140379006195,0.6837171370775568,0.4325051362874377
2013-11-01,4256.44,0.15450066669615764,-0.040183094504057534,0.5674665938796288,0.4968321361000502
2013-12-01,4274.18,0.5240493260812413,-0.040183094504057534,0.5436203286082587,0.49115163139511236
2014-01-01,4418.76,0.39242171118849173,0.0913252147819476,0.558524244402865,0.5220149593983632
2014-02-01,4620.22,0.718461661048357,0.0913252147819476,0.5615050275617862,0.6121004196528296
2014-03-01,4768.28,0.8814816359782895,0.0913252147819476,0.5138124970190464,0.5506097925992108
2014-04-01,4840.15,0.8864383244052132,0.0913252147819476,0.37371568854974885,0.5369907258719161
2014-05-01,4893.91,0.5257015555568826,0.0913252147819476,0.24554201271613604,0.5507525852711366
2014-06-01,4878.58,0.34671002902908493,0.0913252147819476,0.22467653060368728,0.6053834293635895
2014-07-01,5088.8,0.4932077092026055,0.0913252147819476,0.24554201271613604,0.6519172034541801
2014-08-01,5136.86,0.6050085703876606,0.0913252147819476,0.06073345686301996,0.712577888965969
2014-09-01,5137.58,0.6369516735833907,0.0913252147819476,-0.5860964886228868,0.7357732969631563
2014-10-01,5089.55,0.5229478397641473,0.0913252147819476,-0.7470587792046331,0.7350741745255727
2014-11-01,5149.89,0.5884862756312486,0.0913252147819476,-0.5860964886228868,0.8324592100330134
2014-12-01,5226.95,0.8517415054167479,0.0913252147819476,-0.4966729938552498,0.8437570667507267
2015-01-01,5289.4,0.8060298232573411,0.0913252147819476,-0.07936335160627786,0.8848618598311214
2015-02-01,5450.29,0.8935979854663252,0.22283352406795276,0.5555434612439436,0.9610016349130978
2015-03-01,5518.68,1.0092540487612098,0.22283352406795276,0.13823381899497164,0.9621827722232549
2015-04-01,5086.43,1.1337220025928476,0.22283352406795276,-0.0614786526527506,0.9962892040512874
2015-05-01,5216.38,1.2950897480471388,0.0913252147819476,-0.0346516042224596,1.018533595680833
2015-06-01,4910.66,1.3226269059744924,0.0913252147819476,0.08756050529331096,1.0416535465695977
2015-07-01,4802.53,1.3105105564864568,0.0913252147819476,0.19486869901447496,1.0516248107618886
2015-08-01,4509.61,1.4256158766227944,0.0913252147819476,0.2276573137626086,1.1071067391959424
2015-09-01,4223.91,1.4812409356360485,0.0913252147819476,0.2276573137626086,1.1184553102746564
2015-10-01,4455.18,1.5699105841621266,0.0913252147819476,0.2038110484912389,1.1427781399517336
2015-11-01,4446.46,1.8942983045463506,0.0913252147819476,0.0994836379289958,1.2251107072563474
2015-12-01,4593.01,2.2098741343938215,0.0913252147819476,-0.07340178528843544,1.1734943191100802
2016-01-01,4615.16,1.67455178428607,0.0913252147819476,-0.47878829490172253,1.180778163300781
2016-02-01,4770.96,1.7439454222630006,0.0913252147819476,-0.9378289013755917,1.2567753583992043
